node_id,left_child,right_child,feature,threshold,impurity,n_node_samples,weighted_n_node_samples,value,class
129,-1,-1,-2,-2.0,0.0,8,8.0,"[0.0, 1.0]",1
130,131,134,63,0.010225336533039808,0.18000000000000005,70,70.0,"[0.1, 0.9]",1
131,132,133,7,0.005710149649530649,0.1587901701323251,69,69.0,"[0.08695652173913043, 0.9130434782608695]",1
132,-1,-1,-2,-2.0,0.07262370950516195,53,53.0,"[0.03773584905660377, 0.9622641509433962]",1
133,-1,-1,-2,-2.0,0.375,16,16.0,"[0.25, 0.75]",1
134,-1,-1,-2,-2.0,0.0,1,1.0,"[1.0, 0.0]",0
135,136,143,14,0.00899873161688447,0.45957553643502347,1143,1143.0,"[0.357830271216098, 0.642169728783902]",1
136,137,140,1,0.014575850684195757,0.4563176442947764,1130,1130.0,"[0.35221238938053095, 0.647787610619469]",1
137,138,139,22,0.009125859942287207,0.46112484645698193,1101,1101.0,"[0.3605812897366031, 0.6394187102633969]",1
138,-1,-1,-2,-2.0,0.4550855919920406,1051,1051.0,"[0.35014272121788775, 0.6498572787821123]",1
139,-1,-1,-2,-2.0,0.48719999999999997,50,50.0,"[0.58, 0.42]",0
140,141,142,35,-0.015954652801156044,0.06658739595719376,29,29.0,"[0.034482758620689655, 0.9655172413793104]",1
141,-1,-1,-2,-2.0,0.5,2,2.0,"[0.5, 0.5]",0
142,-1,-1,-2,-2.0,0.0,27,27.0,"[0.0, 1.0]",1
143,144,145,8,0.008417170494794846,0.2603550295857988,13,13.0,"[0.8461538461538461, 0.15384615384615385]",0
144,-1,-1,-2,-2.0,0.0,11,11.0,"[1.0, 0.0]",0
145,-1,-1,-2,-2.0,0.0,2,2.0,"[0.0, 1.0]",1
146,147,160,43,0.0005354989261832088,0.4888726632104722,5061,5061.0,"[0.4254099980241059, 0.574590001975894]",1
147,148,153,10,-0.009005876258015633,0.4960814362735618,2214,2214.0,"[0.45573622402890696, 0.544263775971093]",1
148,149,152,16,0.018956339918076992,0.4432099142272824,181,181.0,"[0.3314917127071823, 0.6685082872928176]",1
149,150,151,22,0.0022890048567205667,0.4267102040816326,175,175.0,"[0.30857142857142855, 0.6914285714285714]",1
150,-1,-1,-2,-2.0,0.4831320283215327,98,98.0,"[0.40816326530612246, 0.5918367346938775]",1
151,-1,-1,-2,-2.0,0.2975206611570248,77,77.0,"[0.18181818181818182, 0.8181818181818182]",1
152,-1,-1,-2,-2.0,0.0,6,6.0,"[1.0, 0.0]",0
153,154,157,26,0.002249176148325205,0.4977952325730223,2033,2033.0,"[0.46679783571077227, 0.5332021642892277]",1
154,155,156,9,-0.0007484287198167294,0.4953100896045879,1714,1714.0,"[0.4515752625437573, 0.5484247374562428]",1
155,-1,-1,-2,-2.0,0.4910409820819641,254,254.0,"[0.5669291338582677, 0.4330708661417323]",0
156,-1,-1,-2,-2.0,0.4906173766185026,1460,1460.0,"[0.4315068493150685, 0.5684931506849316]",1
157,158,159,37,-0.007925153709948063,0.4952781517477226,319,319.0,"[0.54858934169279, 0.45141065830721006]",0
158,-1,-1,-2,-2.0,0.2777777777777778,18,18.0,"[0.16666666666666666, 0.8333333333333334]",1
159,-1,-1,-2,-2.0,0.4897959183673469,301,301.0,"[0.5714285714285714, 0.42857142857142855]",0
160,161,168,54,0.008902538102120161,0.480723921519568,2847,2847.0,"[0.4018264840182648, 0.5981735159817352]",1
161,162,165,12,0.0024363697739318013,0.47323013550454385,2243,2243.0,"[0.3843067320552831, 0.6156932679447169]",1
162,163,164,56,0.005587638821452856,0.4829142712585751,1796,1796.0,"[0.40757238307349664, 0.5924276169265034]",1
163,-1,-1,-2,-2.0,0.47995381063893616,1733,1733.0,"[0.3998845931909983, 0.6001154068090018]",1
164,-1,-1,-2,-2.0,0.47165532879818595,63,63.0,"[0.6190476190476191, 0.38095238095238093]",0
165,166,167,10,-0.0061347701121121645,0.4124939317047781,447,447.0,"[0.29082774049217003, 0.70917225950783]",1
166,-1,-1,-2,-2.0,0.2535083748302399,94,94.0,"[0.14893617021276595, 0.851063829787234]",1
167,-1,-1,-2,-2.0,0.44125223699732763,353,353.0,"[0.3286118980169972, 0.6713881019830028]",1
168,169,172,44,-0.0021512057865038514,0.4978071137230823,604,604.0,"[0.46688741721854304, 0.5331125827814569]",1
169,170,171,55,0.0019244362483732402,0.4852294921875,384,384.0,"[0.4140625, 0.5859375]",1
170,-1,-1,-2,-2.0,0.48125294626712356,377,377.0,"[0.40318302387267907, 0.596816976127321]",1
171,-1,-1,-2,-2.0,0.0,7,7.0,"[1.0, 0.0]",0
172,173,174,20,0.004676918964833021,0.49301652892561987,220,220.0,"[0.5590909090909091, 0.4409090909090909]",0
173,-1,-1,-2,-2.0,0.4859778851216776,209,209.0,"[0.583732057416268, 0.41626794258373206]",0
174,-1,-1,-2,-2.0,0.1652892561983471,11,11.0,"[0.09090909090909091, 0.9090909090909091]",1
175,176,207,43,3.065628516196739e-05,0.4985703561448822,97284,97284.0,"[0.4732638460589614, 0.5267361539410386]",1
